Name,mode,scale,label,validity,fid,sfid,is,precision,recall
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=2+label=6,dynamic-two-0.5*a-0.5*(1-a),2,6,0.3516,105.5994952,143.519537,6.178374767,0.378417969,0.635
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=100+label=6,dynamic-two-0.1*a-0.1*(1-a),100,6,0.5474,106.7914779,145.9291971,5.460429192,0.440917969,0.419
guide_mode=dynamic-two-0.5*a*(1-a)+scale=50+label=8,dynamic-two-0.5*a*(1-a),50,8,0.8315,48.50621012,113.2993477,4.025447369,0.54296875,0.436
guide_mode=dynamic-nog-0.1+scale=100+label=6,dynamic-nog-0.1,100,6,0.5352,107.796123,146.584153,5.232972145,0.452148438,0.387
guide_mode=dynamic-nog-0.5*a+scale=50+label=6,dynamic-nog-0.5*a,50,6,0.6108,107.9027958,145.2643366,4.934400558,0.480957031,0.296
guide_mode=dynamic-full-0.1*a*(1-a)+scale=20+label=6,dynamic-full-0.1*a*(1-a),20,6,0.1284,108.9778459,146.7208509,7.880126476,0.327148438,0.6
guide_mode=dynamic-nog-0.1*a+scale=100+label=6,dynamic-nog-0.1*a,100,6,0.5415,109.0326226,145.812807,5.669751167,0.446289063,0.363
guide_mode=dynamic-nog-0.5*a+scale=5+label=6,dynamic-nog-0.5*a,5,6,0.4888,109.5580871,144.5977555,5.178346157,0.387695313,0.37
guide_mode=dynamic-one-0.1*(1-a)+scale=20+label=6,dynamic-one-0.1*(1-a),20,6,0.6406,110.8885349,141.5248712,4.678214073,0.446289063,0.221
guide_mode=dynamic-two-0.5*a*(1-a)+scale=100+label=8,dynamic-two-0.5*a*(1-a),100,8,0.7651,64.11557494,115.1445567,4.424347401,0.4921875,0.423
guide_mode=dynamic-full-0.1*a*(1-a)+scale=50+label=1,dynamic-full-0.1*a*(1-a),50,1,0.1777,111.9932418,135.6167583,6.695183754,0.201171875,0.642
guide_mode=dynamic-full-0.5*a*(1-a)+scale=2+label=6,dynamic-full-0.5*a*(1-a),2,6,0.0981,112.1150076,148.1030654,8.065301895,0.331542969,0.643
guide_mode=dynamic-nog-0.5+scale=50+label=6,dynamic-nog-0.5,50,6,0.5991,112.4681705,147.732858,4.841166496,0.462402344,0.26
guide_mode=dynamic-one-0.1*(1-a)+scale=2+label=1,dynamic-one-0.1*(1-a),2,1,0.3242,113.2652723,132.9504112,5.002885818,0.246582031,0.347
guide_mode=dynamic-one-0.5*(1-a)+scale=5+label=6,dynamic-one-0.5*(1-a),5,6,0.459,115.2326516,140.8160429,5.477352142,0.417480469,0.432
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=2+label=8,dynamic-two-0.5*a-0.5*(1-a),2,8,0.3613,100.1279495,127.3532171,5.555459023,0.322753906,0.584
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=5+label=8,dynamic-two-0.5*a-0.5*(1-a),5,8,0.5469,77.92491288,121.9484884,4.950870037,0.423828125,0.519
