Name,mode,scale,label,eta,validity,fid,sfid,is,precision,recall
guide_mode=dynamic-two-0.5*a*(1-a)+scale=20+label=6,dynamic-two-0.5*a*(1-a),20,6,1,0.6753,54.02690002,134.4818168,4.502147675,0.579589844,0.569
guide_mode=dynamic-nog-0.5*a+scale=20+label=1,dynamic-nog-0.5*a,20,1,1,0.8193,54.11606435,126.1198626,3.477253675,0.518554688,0.299
guide_mode=dynamic-nog-0.1*a+scale=5+label=1,dynamic-nog-0.1*a,5,1,1,0.6011,54.31321114,118.6988286,4.355278492,0.440429688,0.528
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=50+label=1,dynamic-two-0.1*a-0.1*(1-a),50,1,1,0.8389,54.38383724,125.4693709,3.52741313,0.554199219,0.386
guide_mode=dynamic-one-0.5*(1-a)+scale=20+label=1,dynamic-one-0.5*(1-a),20,1,1,0.8149,54.68590987,122.6251958,3.550784349,0.502929688,0.342
guide_mode=dynamic-full-0.1*a*(1-a)+scale=50+label=8,dynamic-full-0.1*a*(1-a),50,8,1,0.2471,116.5137064,121.0831722,7.429808617,0.26171875,0.635
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=5+label=1,dynamic-two-0.5*a-0.5*(1-a),5,1,1,0.6421,54.93069514,124.3588883,4.075296879,0.459472656,0.523
guide_mode=dynamic-nog-0.1+scale=5+label=1,dynamic-nog-0.1,5,1,1,0.6045,55.44278685,119.0200423,4.398331642,0.450195313,0.511
guide_mode=dynamic-full-0.5*a*(1-a)+scale=100+label=1,dynamic-full-0.5*a*(1-a),100,1,1,0.5825,55.94340948,125.6081672,4.545647144,0.454101563,0.619
guide_mode=dynamic-full-0.1*a*(1-a)+scale=100+label=8,dynamic-full-0.1*a*(1-a),100,8,1,0.3306,103.9641137,117.7423469,6.769178867,0.299804688,0.608
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=50+label=1,dynamic-two-0.5*a-0.5*(1-a),50,1,1,0.8535,56.49585211,127.3970136,3.441827059,0.553222656,0.4
guide_mode=dynamic-nog-0.1*a+scale=50+label=1,dynamic-nog-0.1*a,50,1,1,0.8398,56.66526721,126.6447412,3.511458158,0.547363281,0.392
guide_mode=manifold+scale=2+label=6,manifold,2,6,1,0.6587,57.08065111,129.6277361,4.684647083,0.530761719,0.554
guide_mode=dynamic-two-0.1*a*(1-a)+scale=20+label=6,dynamic-two-0.1*a*(1-a),20,6,1,0.6763,57.24140943,131.8955407,4.5110116,0.5703125,0.539
guide_mode=dynamic-full-0.5*a*(1-a)+scale=2+label=8,dynamic-full-0.5*a*(1-a),2,8,1,0.1294,132.5400511,135.7987562,8.168455124,0.224121094,0.644
guide_mode=dynamic-nog-0.1+scale=50+label=1,dynamic-nog-0.1,50,1,1,0.8398,57.65968849,126.7328047,3.640099764,0.527832031,0.37
guide_mode=dynamic-full-0.5*a*(1-a)+scale=5+label=8,dynamic-full-0.5*a*(1-a),5,8,1,0.1724,125.2124831,132.7326073,7.781472683,0.235839844,0.639
guide_mode=dynamic-full-0.5*a*(1-a)+scale=20+label=8,dynamic-full-0.5*a*(1-a),20,8,1,0.3164,101.1177014,125.6202294,6.784034729,0.286621094,0.636
guide_mode=dynamic-fonly+scale=20+label=6,dynamic-fonly,20,6,1,0.6772,59.18560532,132.1858153,4.424276829,0.576171875,0.509
guide_mode=dynamic-nog-0.5+scale=20+label=1,dynamic-nog-0.5,20,1,1,0.8174,59.30221983,128.6301714,3.589627981,0.501464844,0.277
guide_mode=classifier+scale=0.5+label=6,classifier,0.5,6,1,0.7339,43.42364159,131.4425939,3.689566135,0.64453125,0.509
guide_mode=dynamic-full-0.5*a*(1-a)+scale=50+label=8,dynamic-full-0.5*a*(1-a),50,8,1,0.4722,78.75203823,120.332348,5.961142063,0.344238281,0.633
guide_mode=classifier+scale=0.5+label=8,classifier,0.5,8,1,0.9038,37.72568429,125.3649196,3.588686466,0.658691406,0.405
guide_mode=dynamic-two-0.5*a*(1-a)+scale=100+label=1,dynamic-two-0.5*a*(1-a),100,1,1,0.8193,61.32292645,127.6946329,3.943257809,0.522949219,0.438
guide_mode=manifold+scale=20+label=1,manifold,20,1,1,0.8164,61.7265249,127.4011376,3.76383543,0.516113281,0.423
