Name,mode,label,scale,eta,validity,fid,sfid,is,precision,recall
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=50+label=4,dynamic-two-0.5*a-0.5*(1-a),4,50,0,0.9204,25.88713342,44.79467748,1.644403696,0.436523438,0.742362525
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=50+label=8,dynamic-two-0.5*a-0.5*(1-a),8,50,0,0.9185,18.4011818,39.07046888,1.661570549,0.546386719,0.811088296
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=20+label=1,dynamic-two-0.5*a-0.5*(1-a),1,20,0,0.7485,65.49943036,79.79069791,2.100629091,0.462890625,0.888105727
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=20+label=6,dynamic-two-0.5*a-0.5*(1-a),6,20,0,0.7109,30.37879847,47.68351781,1.764331102,0.369628906,0.794363257
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=20+label=4,dynamic-two-0.5*a-0.5*(1-a),4,20,0,0.8711,24.23979796,42.73021463,1.712754607,0.44921875,0.788187373
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=20+label=8,dynamic-two-0.5*a-0.5*(1-a),8,20,0,0.8936,18.22395407,40.30522326,1.703323364,0.560546875,0.802874743
guide_mode=manifold+scale=50+label=1,manifold,1,50,0,0.8916,81.13037287,94.84379907,2.087642193,0.502929688,0.744493392
guide_mode=manifold+scale=50+label=6,manifold,6,50,0,0.856,41.02400151,53.18281127,1.735554695,0.423828125,0.638830898
guide_mode=manifold+scale=50+label=4,manifold,4,50,0,0.9326,37.84677921,58.58836771,1.679830909,0.423339844,0.689409369
guide_mode=manifold+scale=50+label=8,manifold,8,50,0,0.9395,60.75501695,74.67745121,1.970800996,0.496582031,0.804928131
guide_mode=manifold+scale=20+label=1,manifold,1,20,0,0.9077,63.77159154,80.91348673,1.990102649,0.572753906,0.771806167
guide_mode=manifold+scale=20+label=6,manifold,6,20,0,0.8696,28.84574588,44.40418007,1.69546783,0.471191406,0.657620042
guide_mode=manifold+scale=20+label=4,manifold,4,20,0,0.9409,24.83531186,48.54783988,1.641206861,0.497558594,0.686354379
guide_mode=manifold+scale=20+label=8,manifold,8,20,0,0.9258,27.25937329,49.10043072,1.743392944,0.534667969,0.816221766
guide_mode=manifold+scale=5+label=1,manifold,1,5,0,0.8481,52.57029433,70.45650601,2.03012085,0.566894531,0.843171806
guide_mode=manifold+scale=5+label=6,manifold,6,5,0,0.8223,24.42713779,42.73295492,1.722799897,0.476074219,0.776617954
guide_mode=manifold+scale=5+label=4,manifold,4,5,0,0.9326,18.03107479,41.43360225,1.66341579,0.547851563,0.771894094
guide_mode=manifold+scale=5+label=8,manifold,8,5,0,0.9248,13.57476793,37.04595935,1.648299694,0.600097656,0.816221766
